ts,flow_id,model_version,p0,p1,p2,flow total IEC104_S_Message packets,init bw window bytes,init fw window bytes,flow total IEC104_U_Message packets,flow ACK flag count,flow PSH flag count,total flow packets,bw total IEC104_U_Message packets,fw_subflow_bytes,fw_subflow_packets,flow packet APDU length var,fw IAT std,fw total IEC104_U_Message packets,total fw packets,fw packets APDU total length
1766218906.612041,10.0.0.11:47248|10.0.0.18:2404|6|w0,rf_model_three.pkl,0.6166666666666667,0.21909928328057712,0.16423405005275615,27.0,510.0,502.0,0.0,329.0,252.0,329.0,0.0,5278.0,77.0,18.903376165280974,0.400715174739879,0.0,77.0,196.0
1766218906.6205757,10.0.0.11:59748|10.0.0.12:2404|6|w0,rf_model_three.pkl,0.5566666666666666,0.2425691714359909,0.20076416189734236,3.0,510.0,502.0,0.0,28.0,14.0,28.0,0.0,976.0,14.0,17.571428571428584,2.2819177342770036,0.0,14.0,52.0
1766218906.7058127,10.0.0.11:59768|10.0.0.17:2404|6|w0,rf_model_three.pkl,0.6133333333333333,0.21843261661391045,0.16823405005275616,16.0,510.0,502.0,0.0,262.0,142.0,262.0,0.0,8050.0,120.0,19.732195992858465,0.5654534340201006,0.0,120.0,130.0
1766218906.7163215,10.0.0.11:41112|10.0.0.16:2404|6|w0,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,32.0,510.0,502.0,0.0,383.0,299.0,383.0,0.0,5770.0,84.0,18.731266988065045,0.43930915150492544,0.0,84.0,226.0
1766218906.8059125,10.0.0.11:49760|10.0.0.13:2404|6|w0,rf_model_three.pkl,0.64,0.20268791297447006,0.15731208702552993,10.0,510.0,502.0,0.0,174.0,99.0,174.0,0.0,5176.0,77.0,14.626466687072707,1.1291993627791523,0.0,77.0,94.0
1766218906.8109953,10.0.0.11:38050|10.0.0.14:2404|6|w0,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,19.0,510.0,502.0,0.0,280.0,182.0,280.0,0.0,6616.0,98.0,18.326892887332406,0.526915068722643,0.0,98.0,148.0
1766218906.868622,10.0.0.11:33072|10.0.0.15:2404|6|w0,rf_model_three.pkl,0.6433333333333333,0.19760700129355835,0.1590596653731083,3.0,510.0,502.0,0.0,48.0,25.0,48.0,0.0,1570.0,23.0,15.894400000000019,2.9018012036151934,0.0,23.0,52.0
1766218966.5817833,10.0.0.11:38050|10.0.0.14:2404|6|w1,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,19.0,510.0,502.0,0.0,284.0,187.0,284.0,0.0,6567.0,97.0,17.89619377162626,0.49990283707357674,0.0,97.0,165.0
1766218966.5809183,10.0.0.11:47248|10.0.0.18:2404|6|w1,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,343.0,239.0,343.0,0.0,7065.0,104.0,18.518443304564016,0.46674165724882527,0.0,104.0,201.0
1766218966.681171,10.0.0.11:41112|10.0.0.16:2404|6|w1,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,30.0,510.0,501.0,0.0,391.0,294.0,391.0,0.0,6633.0,97.0,17.962619741774233,0.45845677056909906,0.0,97.0,231.0
1766218966.687186,10.0.0.11:59768|10.0.0.17:2404|6|w1,rf_model_three.pkl,0.62,0.21909928328057718,0.1609007167194228,12.0,510.0,502.0,0.0,239.0,129.0,239.0,0.0,7383.0,110.0,16.926987560843713,0.5136404681003407,0.0,110.0,123.0
1766218966.785177,10.0.0.11:49760|10.0.0.13:2404|6|w1,rf_model_three.pkl,0.64,0.2093545796411367,0.15064542035886327,9.0,510.0,501.0,0.0,174.0,97.0,174.0,0.0,5187.0,77.0,13.415028164523335,1.1156450717954909,0.0,77.0,105.0
1766218966.790084,10.0.0.11:33072|10.0.0.15:2404|6|w1,rf_model_three.pkl,0.63,0.19602124630780338,0.17397875369219662,4.0,510.0,502.0,0.0,52.0,28.0,52.0,0.0,1659.0,24.0,17.605867346938766,2.878076717297099,0.0,24.0,75.0
1766218966.8566697,10.0.0.11:59748|10.0.0.12:2404|6|w1,rf_model_three.pkl,0.5666666666666667,0.22583372532799578,0.20749960800533748,2.0,510.0,502.0,0.0,24.0,12.0,24.0,0.0,855.0,12.0,14.909722222222229,2.4469670077965318,0.0,12.0,63.0
1766219026.5879824,10.0.0.11:38050|10.0.0.14:2404|6|w2,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.16090071671942283,19.0,510.0,502.0,0.0,276.0,182.0,276.0,0.0,6352.0,94.0,18.326892887332406,0.4959065554914905,0.0,94.0,148.0
1766219026.618546,10.0.0.11:49760|10.0.0.13:2404|6|w2,rf_model_three.pkl,0.64,0.20268791297447006,0.15731208702552996,10.0,510.0,501.0,0.0,181.0,98.0,181.0,0.0,5572.0,83.0,14.465639316951297,1.2428287523751709,0.0,83.0,94.0
1766219026.7110715,10.0.0.11:59768|10.0.0.17:2404|6|w2,rf_model_three.pkl,0.6166666666666667,0.2224326166139105,0.1609007167194228,13.0,510.0,502.0,0.0,229.0,129.0,229.0,0.0,6712.0,100.0,18.056006249624375,0.5655566840747768,0.0,100.0,112.0
1766219026.7162695,10.0.0.11:47248|10.0.0.18:2404|6|w2,rf_model_three.pkl,0.6166666666666667,0.21909928328057718,0.16423405005275615,25.0,510.0,502.0,0.0,352.0,235.0,352.0,0.0,7906.0,117.0,18.807170665459466,0.4644213111780908,0.0,117.0,184.0
1766219026.8045416,10.0.0.11:41112|10.0.0.16:2404|6|w2,rf_model_three.pkl,0.6133333333333333,0.21909928328057718,0.16756738338608948,33.0,510.0,501.0,0.0,402.0,299.0,402.0,0.0,7030.0,103.0,19.242402210266107,0.4736092640723324,0.0,103.0,232.0
1766219026.8126545,10.0.0.11:59748|10.0.0.12:2404|6|w2,rf_model_three.pkl,0.56,0.22454969091651042,0.21545030908348953,3.0,510.0,502.0,0.0,26.0,13.0,26.0,0.0,910.0,13.0,18.591715976331358,2.0712389121892585,0.0,13.0,52.0
