exp_id,scenario,flow_id,ts_capture,ts_receive,lat_rep_ms
1,three_nodes,10.0.0.11:2404,1766352266.7153308,1766352266.7174416,2.110719680786133
1,three_nodes,10.0.0.11:2404,1766352271.713184,1766352271.7149827,1.7986297607421875
1,three_nodes,10.0.0.11:2404,1766352276.715118,1766352276.7174063,2.288341522216797
1,three_nodes,10.0.0.11:2404,1766352281.7144794,1766352281.7158628,1.3833045959472656
1,three_nodes,10.0.0.11:2404,1766352286.7143583,1766352286.715476,1.117706298828125
1,three_nodes,10.0.0.11:2404,1766352291.7145698,1766352291.7161043,1.5344619750976562
1,three_nodes,10.0.0.11:2404,1766352296.7147677,1766352296.7163975,1.6298294067382812
1,three_nodes,10.0.0.11:2404,1766352301.715274,1766352301.717745,2.4709701538085938
1,three_nodes,10.0.0.11:2404,1766352306.714853,1766352306.716484,1.631021499633789
1,three_nodes,10.0.0.11:2404,1766352311.715251,1766352311.717057,1.806020736694336
1,three_nodes,10.0.0.11:2404,1766352316.715098,1766352316.7164805,1.382589340209961
1,three_nodes,10.0.0.11:2404,1766352321.7157488,1766352321.717587,1.8382072448730469
1,three_nodes,10.0.0.11:2404,1766352326.7149107,1766352326.7165964,1.6856193542480469
1,three_nodes,10.0.0.11:2404,1766352331.7142956,1766352331.7152598,0.9641647338867188
1,three_nodes,10.0.0.11:2404,1766352336.7149274,1766352336.7165442,1.6167163848876953
1,three_nodes,10.0.0.11:2404,1766352341.71475,1766352341.716018,1.2679100036621094
1,three_nodes,10.0.0.11:2404,1766352346.7152607,1766352346.7167456,1.4848709106445312
1,three_nodes,10.0.0.11:2404,1766352351.7151778,1766352351.7166083,1.430511474609375
1,three_nodes,10.0.0.11:2404,1766352356.715168,1766352356.7166917,1.523733139038086
1,three_nodes,10.0.0.11:2404,1766352361.7144012,1766352361.715386,0.9846687316894531
1,three_nodes,10.0.0.11:2404,1766352366.7135725,1766352366.7146707,1.0981559753417969
1,three_nodes,10.0.0.11:2404,1766352371.7143812,1766352371.715373,0.9918212890625
1,three_nodes,10.0.0.11:2404,1766352376.7151008,1766352376.7159996,0.8988380432128906
1,three_nodes,10.0.0.11:2404,1766352381.7154768,1766352381.7170208,1.5439987182617188
1,three_nodes,10.0.0.11:2404,1766352386.715715,1766352386.7165442,0.8292198181152344
1,three_nodes,10.0.0.11:2404,1766352391.7142484,1766352391.7156575,1.4090538024902344
1,three_nodes,10.0.0.11:2404,1766352396.714392,1766352396.716095,1.703023910522461
1,three_nodes,10.0.0.11:2404,1766352401.7145586,1766352401.7158682,1.3096332550048828
1,three_nodes,10.0.0.11:2404,1766352406.7144797,1766352406.7164223,1.9426345825195312
1,three_nodes,10.0.0.11:2404,1766352411.7150388,1766352411.717059,2.020120620727539
